Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,10µF,C440198
D1,D_SMA,1,SMAJ36CA,C908830
"D2, D3, D6",0603,3,LED G,C22371298
D4,D_SMA,1,SS26,C5350986
D5,0603,1,LED Y,C74343
D7,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,1,LED Y THT,
D8,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,1,LED R THT,
D9,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,1,LED G THT,
F1,Fuse_Schurter_UMZ250,1,200mA T,
F2,Fuse_Littelfuse-NANO2-451_453,1,375mA T,
J1,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,24V_IN,
J2,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,RELAIS_OUT,
J3,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,TASTER_1,
J4,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,TASTER_2,
J6,PinHeader_1x08_P2.54mm_Vertical,1,DEBUG,
L1,L_Chilisin_BMRB00060650,1,4.7µH,C5189938
Q1,SOT-23,1,SI2310AHE3-TP,C5243799
"R1, R2, R6, R8",0603,4,2k2,C2907117
"R10, R11, R16, R7",0603,4,10k,C15401
"R12, R13, R14, R15",0805,4,100R,C103909
R3,0603,1,510,C2907048
R4,0603,1,1k,C21190
"R5, R9",0603,2,3k3,C22978
U1,Converter_DCDC_TRACO_TBA2-xxxx_Single_THT,1,TBA2-2411,
U2,DIP-4_W8.89mm_SMDSocket_LongPads,1,VO615A-2X009T,C5369220
U3,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
